2cda0c19;3;恶魔神像
3c07217a;1;监视堡垒（鸟望台 - 已发现）
b8fb6253;1;监视堡垒（鸟望台 - 已启用）
034a2acf;1;监视堡垒（鸟望台 - 地图显现）
e0418686;1;格鲁德峡谷（鸟望台 - 已发现）
0aab3354;1;格鲁德峡谷（鸟望台 - 已启用）
46404d81;1;格鲁德峡谷（鸟望台 - 地图显现）
db253c3e;1;泡泡拉高地（鸟望台 - 已发现）
71fb216e;1;泡泡拉高地（鸟望台 - 已启用）
14763a6d;1;泡泡拉高地（鸟望台 - 地图显现）
a7aea58b;1;拉聂尔山（鸟望台 - 已发现）
dc645a4b;1;拉聂尔山（鸟望台 - 已启用）
d4258836;1;拉聂尔山（鸟望台 - 地图显现）
9304ce23;1;卓拉台地（鸟望台 - 已发现）
b0ef5321;1;卓拉台地（鸟望台 - 已启用）
f43e73ac;1;卓拉台地（鸟望台 - 地图显现）
bc9458f6;1;乌尔里山（鸟望台 - 已发现）
8da52227;1;乌尔里山（鸟望台 - 已启用）
0d153cc2;1;乌尔里山（鸟望台 - 地图显现）
c1b1272e;1;奥尔汀峡谷（鸟望台 - 已发现）
1f365304;1;奥尔汀峡谷（鸟望台 - 已启用）
ca45e956;1;奥尔汀峡谷（鸟望台 - 地图显现）
8fabb43f;1;德依布朗遗迹（鸟望台 - 已发现）
fcb4ddb7;1;德依布朗遗迹（鸟望台 - 已启用）
81393e2f;1;德依布朗遗迹（鸟望台 - 地图显现）
89b01713;1;格鲁德高地（鸟望台 - 已发现）
9ee68f49;1;格鲁德高地（鸟望台 - 已启用）
d1b133ab;1;格鲁德高地（鸟望台 - 地图显现）
5eee2b50;1;海拉鲁平原（鸟望台 - 已发现）
e8931088;1;海拉鲁平原（鸟望台 - 已启用）
daa808e8;1;海拉鲁平原（鸟望台 - 地图显现）
97ec4114;1;拉贝拉湿地带（鸟望台 - 已发现）
b2295624;1;拉贝拉湿地带（鸟望台 - 已启用）
0acfd32d;1;拉贝拉湿地带（鸟望台 - 地图显现）
6ee7a9b4;1;茨茨齐齐雪原（鸟望台 - 已发现）
1f4b2837;1;茨茨齐齐雪原（鸟望台 - 已启用）
41791b8b;1;茨茨齐齐雪原（鸟望台 - 地图显现）
f4415c10;1;卡尔加岭（鸟望台 - 已发现）
f6c6d844;1;卡尔加岭（鸟望台 - 已启用）
436547d5;1;卡尔加岭（鸟望台 - 地图显现）
ec38c3be;1;拉不拉山（鸟望台 - 已发现）
d0236be5;1;拉不拉山（鸟望台 - 已启用）
1b6b8850;1;拉不拉山（鸟望台 - 地图显现）
6bbc4bc5;1;萨哈斯拉平原（鸟望台 - 已发现）
8462f080;1;萨哈斯拉平原（鸟望台 - 已启用）
1dc77e40;1;萨哈斯拉平原（鸟望台 - 地图显现）
